--- Results for Thread Count: 4 ---

Persons: 10000   | SimTime: 50   | Speedup: 0.8334
Persons: 20000   | SimTime: 50   | Speedup: 0.7758
Persons: 50000   | SimTime: 50   | Speedup: 0.8066
Persons: 100000  | SimTime: 50   | Speedup: 0.8687
Persons: 500000  | SimTime: 50   | Speedup: 1.0969

Persons: 10000   | SimTime: 100  | Speedup: 0.8142
Persons: 20000   | SimTime: 100  | Speedup: 0.8299
Persons: 50000   | SimTime: 100  | Speedup: 0.9080
Persons: 100000  | SimTime: 100  | Speedup: 0.9859
Persons: 500000  | SimTime: 100  | Speedup: 1.2586

Persons: 10000   | SimTime: 150  | Speedup: 0.8368
Persons: 20000   | SimTime: 150  | Speedup: 0.8844
Persons: 50000   | SimTime: 150  | Speedup: 1.0069
Persons: 100000  | SimTime: 150  | Speedup: 1.0858
Persons: 500000  | SimTime: 150  | Speedup: 1.3411

Persons: 10000   | SimTime: 200  | Speedup: 0.8528
Persons: 20000   | SimTime: 200  | Speedup: 0.9317
Persons: 50000   | SimTime: 200  | Speedup: 1.0827
Persons: 100000  | SimTime: 200  | Speedup: 1.1576
Persons: 500000  | SimTime: 200  | Speedup: 1.3852

Persons: 10000   | SimTime: 500  | Speedup: 0.8876
Persons: 20000   | SimTime: 500  | Speedup: 1.0505
Persons: 50000   | SimTime: 500  | Speedup: 1.2014
Persons: 100000  | SimTime: 500  | Speedup: 1.2536
Persons: 500000  | SimTime: 500  | Speedup: 1.4589

--- Results for Thread Count: 8 ---

Persons: 10000   | SimTime: 50   | Speedup: 0.7585
Persons: 20000   | SimTime: 50   | Speedup: 0.7303
Persons: 50000   | SimTime: 50   | Speedup: 0.7788
Persons: 100000  | SimTime: 50   | Speedup: 0.8491
Persons: 500000  | SimTime: 50   | Speedup: 0.9926

Persons: 10000   | SimTime: 100  | Speedup: 0.7674
Persons: 20000   | SimTime: 100  | Speedup: 0.7983
Persons: 50000   | SimTime: 100  | Speedup: 0.8872
Persons: 100000  | SimTime: 100  | Speedup: 0.9754
Persons: 500000  | SimTime: 100  | Speedup: 1.1718

Persons: 10000   | SimTime: 150  | Speedup: 0.7936
Persons: 20000   | SimTime: 150  | Speedup: 0.8617
Persons: 50000   | SimTime: 150  | Speedup: 0.9897
Persons: 100000  | SimTime: 150  | Speedup: 1.0772
Persons: 500000  | SimTime: 150  | Speedup: 1.2676

Persons: 10000   | SimTime: 200  | Speedup: 0.8123
Persons: 20000   | SimTime: 200  | Speedup: 0.9169
Persons: 50000   | SimTime: 200  | Speedup: 1.0664
Persons: 100000  | SimTime: 200  | Speedup: 1.1491
Persons: 500000  | SimTime: 200  | Speedup: 1.3216

Persons: 10000   | SimTime: 500  | Speedup: 0.8656
Persons: 20000   | SimTime: 500  | Speedup: 1.0375
Persons: 50000   | SimTime: 500  | Speedup: 1.1873
Persons: 100000  | SimTime: 500  | Speedup: 1.1882
Persons: 500000  | SimTime: 500  | Speedup: 1.4057

--- Results for Thread Count: 12 ---

Persons: 10000   | SimTime: 50   | Speedup: 0.7400
Persons: 20000   | SimTime: 50   | Speedup: 0.7161
Persons: 50000   | SimTime: 50   | Speedup: 0.7681
Persons: 100000  | SimTime: 50   | Speedup: 0.8407
Persons: 500000  | SimTime: 50   | Speedup: 0.9429

Persons: 10000   | SimTime: 100  | Speedup: 0.7468
Persons: 20000   | SimTime: 100  | Speedup: 0.7820
Persons: 50000   | SimTime: 100  | Speedup: 0.8757
Persons: 100000  | SimTime: 100  | Speedup: 0.9664
Persons: 500000  | SimTime: 100  | Speedup: 1.1215

Persons: 10000   | SimTime: 150  | Speedup: 0.7711
Persons: 20000   | SimTime: 150  | Speedup: 0.8447
Persons: 50000   | SimTime: 150  | Speedup: 0.9765
Persons: 100000  | SimTime: 150  | Speedup: 1.0664
Persons: 500000  | SimTime: 150  | Speedup: 1.2185

Persons: 10000   | SimTime: 200  | Speedup: 0.7890
Persons: 20000   | SimTime: 200  | Speedup: 0.8996
Persons: 50000   | SimTime: 200  | Speedup: 1.0526
Persons: 100000  | SimTime: 200  | Speedup: 1.1378
Persons: 500000  | SimTime: 200  | Speedup: 1.2785

Persons: 10000   | SimTime: 500  | Speedup: 0.8413
Persons: 20000   | SimTime: 500  | Speedup: 1.0180
Persons: 50000   | SimTime: 500  | Speedup: 1.1732
Persons: 100000  | SimTime: 500  | Speedup: 1.1609
Persons: 500000  | SimTime: 500  | Speedup: 1.3703

--- Results for Thread Count: 16 ---

Persons: 10000   | SimTime: 50   | Speedup: 0.6298
Persons: 20000   | SimTime: 50   | Speedup: 0.6200
Persons: 50000   | SimTime: 50   | Speedup: 0.6756
Persons: 100000  | SimTime: 50   | Speedup: 0.7578
Persons: 500000  | SimTime: 50   | Speedup: 0.8687

Persons: 10000   | SimTime: 100  | Speedup: 0.6405
Persons: 20000   | SimTime: 100  | Speedup: 0.6806
Persons: 50000   | SimTime: 100  | Speedup: 0.7770
Persons: 100000  | SimTime: 100  | Speedup: 0.8783
Persons: 500000  | SimTime: 100  | Speedup: 1.0182

Persons: 10000   | SimTime: 150  | Speedup: 0.6652
Persons: 20000   | SimTime: 150  | Speedup: 0.7388
Persons: 50000   | SimTime: 150  | Speedup: 0.8711
Persons: 100000  | SimTime: 150  | Speedup: 0.9781
Persons: 500000  | SimTime: 150  | Speedup: 1.1098

Persons: 10000   | SimTime: 200  | Speedup: 0.6826
Persons: 20000   | SimTime: 200  | Speedup: 0.7884
Persons: 50000   | SimTime: 200  | Speedup: 0.9392
Persons: 100000  | SimTime: 200  | Speedup: 1.0503
Persons: 500000  | SimTime: 200  | Speedup: 1.1711

Persons: 10000   | SimTime: 500  | Speedup: 0.7291
Persons: 20000   | SimTime: 500  | Speedup: 0.8931
Persons: 50000   | SimTime: 500  | Speedup: 0.9668
